model_size,speaker,passage,TP,FP,FN,Precision,Recall,F1
base,SA001,grandfather,12,24,12,0.3333333333333333,0.5,0.4
base,SA001,rainbow,3,18,8,0.14285714285714285,0.2727272727272727,0.18749999999999997
base,SA002,grandfather,13,29,19,0.30952380952380953,0.40625,0.3513513513513513
base,SA002,rainbow,8,19,9,0.2962962962962963,0.47058823529411764,0.3636363636363636
base,SA003,grandfather,2,11,1,0.15384615384615385,0.6666666666666666,0.25
base,SA003,rainbow,1,0,1,1.0,0.5,0.6666666666666666
base,SA004,grandfather,14,48,27,0.22580645161290322,0.34146341463414637,0.27184466019417475
base,SA004,rainbow,7,33,6,0.175,0.5384615384615384,0.2641509433962264
base,SA005,grandfather,4,17,6,0.19047619047619047,0.4,0.25806451612903225
base,SA005,rainbow,3,17,2,0.15,0.6,0.24
base,SA006,grandfather,12,53,11,0.18461538461538463,0.5217391304347826,0.2727272727272727
base,SA006,rainbow,4,19,9,0.17391304347826086,0.3076923076923077,0.2222222222222222
large,SA001,grandfather,6,21,15,0.2222222222222222,0.2857142857142857,0.25
large,SA001,rainbow,6,11,8,0.35294117647058826,0.42857142857142855,0.3870967741935484
large,SA002,grandfather,8,26,24,0.23529411764705882,0.25,0.24242424242424243
large,SA002,rainbow,6,3,10,0.6666666666666666,0.375,0.4800000000000001
large,SA003,grandfather,2,10,2,0.16666666666666666,0.5,0.25
large,SA003,rainbow,1,0,1,1.0,0.5,0.6666666666666666
large,SA004,grandfather,16,26,27,0.38095238095238093,0.37209302325581395,0.3764705882352941
large,SA004,rainbow,5,24,6,0.1724137931034483,0.45454545454545453,0.25000000000000006
large,SA005,grandfather,4,4,6,0.5,0.4,0.4444444444444445
large,SA005,rainbow,2,2,2,0.5,0.5,0.5
large,SA006,grandfather,11,13,10,0.4583333333333333,0.5238095238095238,0.4888888888888889
large,SA006,rainbow,3,11,9,0.21428571428571427,0.25,0.23076923076923075
medium,SA001,grandfather,8,12,14,0.4,0.36363636363636365,0.380952380952381
medium,SA001,rainbow,2,13,9,0.13333333333333333,0.18181818181818182,0.15384615384615383
