Speaker,Model,Error Type,TP,FP,FN,precision,recall,f1
SA001_grandfather,tiny,Substitution Errors,11,35,1,0.24,0.92,0.38
SA001_grandfather,tiny,Deletion Errors,2,44,2,0.04,0.50,0.08
SA001_grandfather,tiny,Insertion Errors,2,44,4,0.04,0.33,0.08
SA001_grandfather,tiny,Repetition Errors,0,46,1,0.00,0.00,0.00
SA001_grandfather,tiny,Prosodic Errors,5,42,3,0.11,0.63,0.18
SA001_grandfather,base,Substitution Errors,12,22,1,0.35,0.92,0.51
SA001_grandfather,base,Deletion Errors,3,31,2,0.09,0.60,0.15
SA001_grandfather,base,Insertion Errors,1,33,5,0.03,0.17,0.05
SA001_grandfather,base,Repetition Errors,1,33,0,0.03,1.00,0.06
SA001_grandfather,base,Prosodic Errors,4,30,3,0.12,0.57,0.20
SA001_grandfather,small,Substitution Errors,9,12,2,0.43,0.82,0.56
SA001_grandfather,small,Deletion Errors,3,18,1,0.14,0.75,0.24
SA001_grandfather,small,Insertion Errors,0,21,6,0.00,0.00,0.00
SA001_grandfather,small,Repetition Errors,0,21,1,0.00,0.00,0.00
SA001_grandfather,small,Prosodic Errors,1,20,6,0.05,0.14,0.07
SA001_grandfather,medium,Substitution Errors,8,8,3,0.50,0.73,0.59
SA001_grandfather,medium,Deletion Errors,2,14,2,0.13,0.50,0.20
SA001_grandfather,medium,Insertion Errors,0,16,6,0.00,0.00,0.00
SA001_grandfather,medium,Repetition Errors,0,16,1,0.00,0.00,0.00
SA001_grandfather,medium,Prosodic Errors,3,14,4,0.18,0.43,0.25
SA001_grandfather,large,Substitution Errors,6,12,4,0.33,0.60,0.43
SA001_grandfather,large,Deletion Errors,1,17,3,0.06,0.25,0.09
SA001_grandfather,large,Insertion Errors,1,17,5,0.06,0.17,0.08
SA001_grandfather,large,Repetition Errors,0,18,1,0.00,0.00,0.00
SA001_grandfather,large,Prosodic Errors,0,18,7,0.00,0.00,0.00
SA001_grandfather,turbo,Substitution Errors,7,13,4,0.35,0.64,0.45
SA001_grandfather,turbo,Deletion Errors,3,17,1,0.15,0.75,0.25
SA001_grandfather,turbo,Insertion Errors,0,20,6,0.00,0.00,0.00
SA001_grandfather,turbo,Repetition Errors,0,20,1,0.00,0.00,0.00
SA001_grandfather,turbo,Prosodic Errors,1,19,6,0.05,0.14,0.07
SA001_rainbow,tiny,Substitution Errors,1,30,1,0.03,0.50,0.06
SA001_rainbow,tiny,Deletion Errors,2,29,0,0.06,1.00,0.12
SA001_rainbow,tiny,Insertion Errors,6,25,2,0.19,0.75,0.31
SA001_rainbow,tiny,Repetition Errors,0,31,1,0.00,0.00,0.00
SA001_rainbow,tiny,Prosodic Errors,1,30,0,0.03,1.00,0.06
SA001_rainbow,base,Substitution Errors,2,17,0,0.11,1.00,0.19
SA001_rainbow,base,Deletion Errors,1,18,0,0.05,1.00,0.10
SA001_rainbow,base,Insertion Errors,2,17,5,0.11,0.29,0.15
